Player,Season,Team,Pos,GP,G,A,P,PPG,Salary (USD),PPG100
Cale Makar,20232024,COL,D,77,21,69,90,1.17,9000000,116.8831169
Calle Jarnkrok,20232024,TOR,C,52,10,11,21,0.40,2100000,40.38461538
Carl Grundstrom,20232024,LAK,R,50,8,4,12,0.24,1800000,24
Carter Verhaeghe,20232024,FLA,C,76,34,38,72,0.95,4166667,94.73684211
Casey Cizikas,20232024,NYI,C,70,10,13,23,0.33,2500000,32.85714286
Casey Mittelstadt,20232024,COL,C,80,18,39,57,0.71,2575000,71.25
Chandler Stephenson,20232024,VGK,C,75,16,35,51,0.68,2750000,68
Charlie Coyle,20232024,BOS,C,82,25,35,60,0.73,5250000,73.17073171
Charlie McAvoy,20232024,BOS,D,74,12,35,47,0.64,9500000,63.51351351
Chris Kreider,20232024,NYR,L,82,39,36,75,0.91,6500000,91.46341463
Chris Tanev,20232024,DAL,D,75,2,17,19,0.25,4500000,25.33333333
Cody Ceci,20232024,EDM,D,79,5,20,25,0.32,3250000,31.64556962
Cole Smith,20232024,NSH,R,80,9,14,23,0.29,775000,28.75
Colton Sissons,20232024,NSH,C,81,15,20,35,0.43,2857143,43.20987654
Connor Brown,20232024,EDM,R,71,4,8,12,0.17,4000000,16.90140845
Connor Dewar,20232024,TOR,C,74,11,8,19,0.26,800000,25.67567568
Connor McDavid,20232024,EDM,C,76,32,100,132,1.74,12500000,173.6842105
Connor McMichael,20232024,WSH,C,80,18,15,33,0.41,2100000,41.25
Conor Garland,20232024,VAN,R,82,20,27,47,0.57,4950000,57.31707317
Corey Perry,20232024,EDM,R,54,12,10,22,0.41,1150000,40.74074074
Craig Smith,20232024,DAL,C,75,11,9,20,0.27,1000000,26.66666667
Dakota Joshua,20232024,VAN,C,63,18,14,32,0.51,3250000,50.79365079
Danton Heinen,20232024,BOS,L,74,17,19,36,0.49,2250000,48.64864865
Darnell Nurse,20232024,EDM,D,81,10,22,32,0.40,9250000,39.50617284
David Kampf,20232024,TOR,C,78,8,11,19,0.24,2400000,24.35897436
David Pastrnak,20232024,BOS,R,82,47,63,110,1.34,11425000,134.1463415
Derek Ryan,20232024,EDM,C,70,5,7,12,0.17,1250000,17.14285714
Devon Toews,20232024,COL,D,82,12,38,50,0.61,4100000,60.97560976
Dmitry Kulikov,20232024,FLA,D,76,1,19,20,0.26,1250000,26.31578947
Dmitry Orlov,20232024,CAR,D,82,6,20,26,0.32,7750000,31.70731707
Drew Doughty,20232024,LAK,D,82,15,35,50,0.61,11000000,60.97560976
Dylan DeMelo,20232024,WPG,D,82,3,28,31,0.38,3000000,37.80487805
Dylan Samberg,20232024,WPG,D,78,1,17,18,0.23,1250000,23.07692308
Dylan Strome,20232024,WSH,C,82,27,40,67,0.82,3500000,81.70731707
Eetu Luostarinen,20232024,FLA,C,82,12,15,27,0.33,1500000,32.92682927
Elias Lindholm,20232024,VAN,C,75,15,29,44,0.59,4850000,58.66666667
Elias Pettersson,20232024,VAN,C,82,34,55,89,1.09,7350000,108.5365854
Erik Cernak,20232024,TBL,D,69,2,11,13,0.19,5200000,18.84057971
Erik Gustafsson,20232024,NYR,D,76,6,25,31,0.41,2000000,40.78947368
Esa Lindell,20232024,DAL,D,82,5,21,26,0.32,5250000,31.70731707
Evan Bouchard,20232024,EDM,D,81,18,64,82,1.01,3900000,101.2345679
Evan Rodrigues,20232024,FLA,C,80,12,27,39,0.49,3000000,48.75
Evander Kane,20232024,EDM,L,77,24,20,44,0.57,5125000,57.14285714
Evgenii Dadonov,20232024,DAL,R,51,12,11,23,0.45,2250000,45.09803922
Evgeny Kuznetsov,20232024,CAR,C,63,8,16,24,0.38,7800000,38.0952381
Filip Forsberg,20232024,NSH,L,82,48,46,94,1.15,8500000,114.6341463
